NAMES                         IMAGE                                             PORTS                                                                                                                                STATUS
catt-controller               iap/catt-controller:1.0.0                         0.0.0.0:8124->8124/tcp, [::]:8124->8124/tcp                                                                                          Up 22 seconds (healthy)
control-plane                 iap/control-plane:1.0.0                           127.0.0.1:8086->8086/tcp                                                                                                             Up 6 hours (healthy)
docker-socket-proxy-control   lscr.io/linuxserver/socket-proxy:latest                                                                                                                                                Up 6 hours
zabbix-agent                  zabbix/zabbix-agent:alpine-7.4-latest             10050/tcp                                                                                                                            Up 8 hours
topology-api                  iap/topology-api:1.0.0                            0.0.0.0:8300->8300/tcp, [::]:8300->8300/tcp                                                                                          Up 8 hours (unhealthy)
cadvisor                      zcube/cadvisor:latest                             0.0.0.0:8088->8080/tcp, [::]:8088->8080/tcp                                                                                          Up 8 hours (healthy)
homepage                      ghcr.io/gethomepage/homepage:v1.12.3              0.0.0.0:3005->3000/tcp, [::]:3005->3000/tcp                                                                                          Up 8 hours (healthy)
grafana-obs                   grafana/grafana:13.0.1                            0.0.0.0:3030->3000/tcp, [::]:3030->3000/tcp                                                                                          Up 8 hours
litellm-gateway               ghcr.io/berriai/litellm:main-latest               0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                                                                                          Up 10 hours (healthy)
caddy                         caddy:2-alpine                                    0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 0.0.0.0:2019->2019/tcp, [::]:2019->2019/tcp, 443/udp   Up 6 hours (healthy)
vaultwarden                   vaultwarden/server:latest                         0.0.0.0:8083->80/tcp, [::]:8083->80/tcp                                                                                              Up 12 hours (healthy)
vault-server                  hashicorp/vault:latest                            0.0.0.0:8200->8200/tcp, [::]:8200->8200/tcp                                                                                          Up 12 hours (healthy)
sms1obot-mcp-server-shim      ghcr.io/nanobot-ai/nanobot:v0.0.67                8080/tcp, 127.0.0.1:32790->8099/tcp                                                                                                  Up 13 hours
sms1obot-mcp-server           ghcr.io/obot-platform/obot-mcp-server:v0.1.1      127.0.0.1:32789->8080/tcp                                                                                                            Up 13 hours
obot                          obot/obot:latest                                  0.0.0.0:8090->8080/tcp, [::]:8090->8080/tcp                                                                                          Up 13 hours (healthy)
docker-plane-worker-1         makeplane/plane-backend:stable                    8000/tcp                                                                                                                             Up 13 hours
docker-plane-beat-1           makeplane/plane-backend:stable                    8000/tcp                                                                                                                             Up 13 hours
docker-plane-web-1            makeplane/plane-frontend:stable                   80/tcp, 0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp                                                                                  Up 13 hours (healthy)
docker-plane-api-1            makeplane/plane-backend:stable                    0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp                                                                                          Up 13 hours (healthy)
docker-plane-db-1             postgres:15-alpine                                127.0.0.1:5433->5432/tcp                                                                                                             Up 13 hours (healthy)
docker-plane-minio-1          minio/minio:latest                                0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                                                                      Up 13 hours
docker-plane-redis-1          redis:7.2-alpine                                  6379/tcp                                                                                                                             Up 13 hours (healthy)
zabbix-web                    zabbix/zabbix-web-nginx-pgsql:alpine-7.4-latest   0.0.0.0:10080->8080/tcp, [::]:10080->8080/tcp, 0.0.0.0:10443->8443/tcp, [::]:10443->8443/tcp                                         Up 14 hours (healthy)
zabbix-server                 zabbix/zabbix-server-pgsql:alpine-7.4-latest      0.0.0.0:10051->10051/tcp, [::]:10051->10051/tcp                                                                                      Up 14 hours
nextcloud                     nextcloud:29-apache                               0.0.0.0:8085->80/tcp, [::]:8085->80/tcp                                                                                              Up 14 hours (healthy)
zabbix-postgres               timescale/timescaledb:latest-pg16                 5432/tcp                                                                                                                             Up 14 hours (healthy)
nextcloud-db                  postgres:16-alpine                                5432/tcp                                                                                                                             Up 15 hours (healthy)
open-webui                    ghcr.io/open-webui/open-webui:main                0.0.0.0:3002->8080/tcp, [::]:3002->8080/tcp                                                                                          Up 15 hours (healthy)
mcpo-proxy                    nikolaik/python-nodejs:python3.12-nodejs22-slim   0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp                                                                                          Up 15 hours (healthy)
openhands-app                 5c0dc26f467b                                      0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                                                          Up 16 hours
seal-vault                    hashicorp/vault:2.0.0                             8200/tcp, 0.0.0.0:8201->8201/tcp, [::]:8201->8201/tcp                                                                                Up 18 hours (healthy)
plex-mcp                      node:22-slim                                      0.0.0.0:8094->8094/tcp                                                                                                               Up 25 hours
mcp-docker-remote             node:22-slim                                      0.0.0.0:8092->8092/tcp                                                                                                               Up 30 hours
